room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
4614161,1440,23904325,Entire home/apt,,Houston,,DOWNTOWN,4,4.0,2,1.0,,200.0,,Beautiful Loft in Downtown Houston,2017-07-13 15:16:03.066218,29.766959,-95.354297,0101000020E61000008A0453CDACD657C0745FCE6C57C43D40
14199408,1440,71717765,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,0,0.0,8,2.0,,210.0,,Nice Weekend Home in Washington Heights,2017-07-13 15:16:03.063693,29.769589,-95.415697,0101000020E6100000E60297C79ADA57C0815CE2C803C53D40
13822198,1440,25614052,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,0,0.0,4,1.0,,200.0,,The Loft - Lounge Near the Center of It All,2017-07-13 15:16:03.055511,29.767684,-95.413277,0101000020E610000018CC5F2173DA57C097A949F086C43D40
14320000,1440,87588836,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,1,0.0,4,2.0,,200.0,,Little  Yellow  Bungalow,2017-07-13 15:16:01.505932,29.772431,-95.369711,0101000020E61000002C7E5358A9D757C0A56ABB09BEC53D40
16937249,1440,113191727,Entire home/apt,,Houston,,NORTHSIDE/NORTHLINE,0,0.0,4,1.0,,200.0,,Relax and Recover at Smartliving,2017-07-13 15:16:01.503314,29.861782,-95.410744,0101000020E6100000CEC133A149DA57C00F48C2BE9DDC3D40
16914279,1440,46032526,Entire home/apt,,Houston,,CENTRAL NORTHWEST,0,0.0,5,2.0,,200.0,,Cozy 2 bedroom 2 bath near downtown,2017-07-13 15:16:01.494648,29.828279,-95.419224,0101000020E6100000B16CE690D4DA57C0ADF6B0170AD43D40
16252304,1440,71703107,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,0,0.0,7,3.0,,300.0,,Lovely Modern Townhome for Superbowl,2017-07-13 15:16:01.488648,29.780762,-95.415099,0101000020E61000008C6665FB90DA57C0A5F5B704E0C73D40
15952778,1440,103549003,Entire home/apt,,Houston,,GREATER HEIGHTS,0,0.0,9,4.0,,250.0,,"Historic charm, modern convenience in the Heights!",2017-07-13 15:16:01.479471,29.793645,-95.40346,0101000020E6100000A04FE449D2D957C049A297512CCB3D40
18054906,1440,45858307,Entire home/apt,,Houston,,GREATER FIFTH WARD,0,0.0,9,2.0,,225.0,,Beautiful Townhome - EaDo Houston - Sleeps 9,2017-07-13 15:16:01.465875,29.766052,-95.337632,0101000020E610000051853FC39BD557C00F09DFFB1BC43D40
15314665,1440,3687218,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,0,0.0,8,3.0,,250.0,,Superbowl Stunner in the Houston Heights!,2017-07-13 15:16:00.166120,29.782605,-95.418702,0101000020E610000044317903CCDA57C0A3AF20CD58C83D40
16368794,1440,11998993,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,1,0.0,9,3.0,,300.0,,Centrally Located Townhouse (3bd 3.5bth),2017-07-13 15:16:00.156397,29.774509,-95.404001,0101000020E610000048A30227DBD957C02975C93846C63D40
16916570,1440,112961369,Entire home/apt,,Houston,,GREATER HEIGHTS,0,0.0,4,2.0,,250.0,,"Two bedroom, one bath Apartment for the Superbowl",2017-07-13 15:16:00.153780,29.808233,-95.402815,0101000020E6100000A6D590B8C7D957C0488C9E5BE8CE3D40
16665387,1440,1895720,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,1,0.0,3,1.0,,250.0,,Cozy one bedroom apt great location,2017-07-13 15:16:00.149345,29.762719,-95.405056,0101000020E61000001C430070ECD957C0AF09698D41C33D40
10549558,1440,44421859,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,1,0.0,5,3.0,,200.0,,Central Houston Living,2017-07-13 15:16:00.134708,29.780071,-95.420021,0101000020E610000087A8C29FE1DA57C0DA8EA9BBB2C73D40
